dlxs_id,original_lang,possible codes,possible lang namesnotes & keywords
AQG7228.0001.001,map,['phi'],['Cuyunon'],"['Cuyunon language -- Texts.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 9.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQJ7923.0001.001,map,['ilo'],['Iloko'],"['Iloko fiction.']['Microfilm no. 25', 'In Iloko language.', '""Panagayan-ayat da Virgilio ken Leonila""--t.p.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQN6361.0001.001,map,[],[],"['Jesus Christ.']['Microfilm no. 2', 'In Pampango.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQN6353.0001.001,map,"['map', 'eng', 'phi']","['Sama ', 'English', 'Sama Sibutu']","['Sama Sibutu language -- Dictionaries', 'English language -- Glossaries, vocabularies, etc.']['Microfilm no. 2', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQN8187.0001.001,map,['phi'],['Tiruray'],"['Tiruray langunge -- Dictionaries']['Microfilm no. 2', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
APT6458.0001.001,map,"['tut', 'btk', 'ind']","['Shor', 'Toba-Batak', 'Indonesian']","['Short stories, Toba-Batak.', 'Short stories, Indonesian.']['Microfilm no. 45.', 'In Toba-Batak.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and East Indies.']"
AQW2818.0001.001,map,['pam'],['Pampanga'],"['Pampanga language -- Texts.', 'Jesus Christ -- Biography'][]"
AQP0302.0001.001,map,"['mkh', 'nic', 'phi', 'sai']","['Bo', 'Wo', 'Jo', 'Philippine ', 'Moro', 'Sulu', 'Joloano', 'Moro ']","['Sulu language -- Conversation and phrase books.']['""Largely a translation into Joloano Moro of T́he Philippine chart primer ́and T́he first year book ́(Teacher ́edition) published by World Book Company, New York and Manila.""', 'Microfilm no. 4', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQJ5842.0001.001,map,['ceb'],['Cebuano'],"['Cebuano literature.']['at head of title :Floripinas.', 'Cover imprint :1940.', 'Poems.', 'In Cebuano language.', 'Microfilm no. 5', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQL6295.0001.001,map,['hil'],['Hiligaynon'],"['Corridos', 'Hiligaynon literature']['Microfilm no. 16', 'In Hiligaynon.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQQ5238.0001.001,map,['phi'],['Maranao'],"['Maranao language -- Texts.']['Microfilm no. 45', 'In Maranao language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQG7227.0001.001,map,"['map', 'cre', 'nic', 'paa', 'phi']","['Dia', 'Pala', 'Cris', 'San ', 'Ama ', 'Cuyunon']","['Palawan (Philippines) -- History.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 9.', 'In Cuyunon language (Philippine).', 'Contents: Dialogo Historicos -- Adalan sa mga cristianos -- Novena sa mahimayaen ng̃a Ama si San Agustin.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQJ7932.0001.001,map,"['mkh', 'war']","['Wa', 'Waray']","['Devotional literature, Waray', 'Sacred Heart, Devotion to']['Microfilm no. 25', 'In Warray language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQJ7928.0001.001,map,['mkh'],['Wa'],"['Novenas.', 'Sacred Heart, Devotion to', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Warray language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQJ7929.0001.001,map,['mkh'],['Wa'],"['Novenas.', 'Sacred Heart, Devotion to', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Warray language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQJ7927.0001.001,map,['mkh'],['Wa'],"['Novenas.', 'Jesus Christ -- Family.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Warray langauage.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQJ7926.0001.001,map,['mkh'],['Wa'],"['Novenas.', 'Mary, -- Blessed Virgin, Saint -- Prayer-books and devotions', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Warray language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AAW9129.0001.001,map,"['eng', 'pam', 'spa', 'tgl']","['English', 'Pampanga', 'Spanish', 'Tagalog']","['Pampanga language -- Dictionaries', 'Spanish language -- Dictionaries', 'Tagalog language -- Dictionaries', 'English language -- Dictionaries'][]"
AQH7543.0001.001,map,"['eng', 'pam', 'spa', 'tgl']","['English', 'Pampanga', 'Spanish', 'Tagalog']","['Pampanga language -- Dictionaries', 'Spanish language -- Dictionaries', 'Tagalog language -- Dictionaries and glossaries', 'English language -- Dictionaries and glossaries']['Microfilm no. 9', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965 1 microfilm reel ; 35 mm.', 'From Bartlett Collection on Philippines and the East Indies.']"
APT6493.0001.001,map,"['btk', 'sai']","['Batak', 'Toba-Batak', 'Toba ']","['Bible stories, Toba-Batak.']['Microfilm no. 45.', 'In Toba Batak.', 'Microfilm. Philadelphia, PA : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQJ2103.0001.001,map,"['ceb', 'hil']","['Bisayan', 'Hiligaynon']","['Bisayan languages -- Texts', 'Hiligaynon language -- Texts', 'Bible -- Criticism, interpretation, etc -- Phillippines']['Microfilm no. 16', 'In Hiligaynon.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Bartlett Collection on the Philippines and the East Indies.']"
AQP0230.0001.001,map,"['mkh', 'pam']","['Wa', 'Pampanga']","['Novenas.', 'Jesus Christ -- Devotional literature.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 4', 'Continued from : GLMR 30035(5)', 'In Pampanga language.', 'Library wanting : pp 1-145.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.']"
AUR3280.0001.001,map,['tgl'],['Tagalog'],"['Corridos -- Philippines.', 'Tagalog literature.']['Microfilm no. 35.', 'Includes bibliographical references.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AHU4052.0001.001,map,"['eng', 'phi']","['English', 'Maranao']",['Philippines -- Periodicals.']['Text in English and Maranao.']
AQL8789.0001.001,map,['hil'],['Hiligaynon'],"['Hiligaynon literature -- Texts.', 'Bible.: -- N.T.']['Microfilm no. 16', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AJW2666.0001.001,map,"['eng', 'phi']","['English', 'Magindanao']","['Magindanao language -- Readers.', 'Education, Elementary -- Philippines']['Cover title.', 'In Magindanao (Arabic script)', 'Text and added t.p. in Magindanao; ""Note"", iii p. at end, in English.']"
